siteid,sitename,monitordate,aqi,so2subindex,cosubindex,o3subindex,pm10subindex,no2subindex,o38subindex,pm25subindex
85,大城,2022-12-12,40,2,2,,20,8,40,30
84,富貴角,2022-12-12,44,0,1,,40,3,44,38
83,麥寮,2022-12-12,32,5,2,,29,17,,32
80,關山,2022-12-12,35,2,2,,7,10,35,13
78,馬公,2022-12-12,42,0,1,,25,5,40,42
77,金門,2022-12-12,61,8,5,,40,25,30,61
75,馬祖,2022-12-12,63,0,2,,32,8,38,63
72,埔里,2022-12-12,46,5,5,,18,22,46,28
71,復興,2022-12-12,52,2,8,,42,42,,52
70,永和,2022-12-12,39,0,6,,17,33,,39
69,竹山,2022-12-12,36,2,2,,17,23,36,23
68,中壢,2022-12-12,54,2,10,,21,54,,41
67,三重,2022-12-12,60,2,14,,20,60,,33
66,冬山,2022-12-12,36,2,3,,7,23,36,8
65,宜蘭,2022-12-12,37,2,3,,7,22,37,12
64,陽明,2022-12-12,40,2,2,,6,2,40,6
63,花蓮,2022-12-12,47,2,3,,14,47,37,14
62,臺東,2022-12-12,37,0,2,,13,13,37,10
61,恆春,2022-12-12,44,2,2,,6,2,44,9
60,潮州,2022-12-12,66,2,5,,48,32,50,66
59,屏東,2022-12-12,60,2,5,,42,30,44,60
58,小港,2022-12-12,60,5,6,,43,52,40,60
57,前鎮,2022-12-12,58,5,6,,45,40,,58
56,前金,2022-12-12,54,10,5,,39,40,38,54
54,左營,2022-12-12,47,5,5,,39,32,39,47
53,楠梓,2022-12-12,39,5,5,,37,30,39,39
52,林園,2022-12-12,57,10,5,,52,45,23,57
51,大寮,2022-12-12,61,5,5,,41,43,44,61
50,鳳山,2022-12-12,60,8,8,,40,52,,60
49,仁武,2022-12-12,50,5,5,,32,38,35,50
48,橋頭,2022-12-12,49,5,3,,38,30,36,49
47,美濃,2022-12-12,49,2,3,,28,23,43,49
46,臺南,2022-12-12,46,2,6,,34,32,32,46
45,安南,2022-12-12,43,2,3,,43,22,35,39
44,善化,2022-12-12,36,5,2,,26,18,36,33
43,新營,2022-12-12,36,5,2,,32,20,36,31
42,嘉義,2022-12-12,32,15,3,,22,30,32,28
41,臺西,2022-12-12,35,2,2,,23,10,,35
40,朴子,2022-12-12,41,5,2,,41,15,37,36
39,新港,2022-12-12,43,5,2,,43,17,36,32
38,崙背,2022-12-12,36,5,2,,35,20,31,36
37,斗六,2022-12-12,35,2,2,,24,20,35,30
36,南投,2022-12-12,33,2,5,,19,33,30,25
35,二林,2022-12-12,41,8,3,,41,18,33,32
34,線西,2022-12-12,31,5,3,,21,20,,31
33,彰化,2022-12-12,33,2,3,,16,22,33,20
32,西屯,2022-12-12,36,2,2,,14,17,36,24
31,忠明,2022-12-12,33,2,3,,15,25,33,18
30,大里,2022-12-12,30,2,3,,14,23,30,14
29,沙鹿,2022-12-12,35,2,2,,15,20,35,23
28,豐原,2022-12-12,24,2,2,,9,12,24,20
27,三義,2022-12-12,36,2,2,,10,15,36,25
26,苗栗,2022-12-12,36,2,2,,12,20,36,28
25,頭份,2022-12-12,27,5,2,,13,23,,27
24,新竹,2022-12-12,34,2,3,,17,28,31,34
23,竹東,2022-12-12,39,0,2,,11,17,39,20
22,湖口,2022-12-12,33,2,2,,18,27,33,29
21,龍潭,2022-12-12,36,2,2,,8,25,36,13
20,平鎮,2022-12-12,47,2,5,,14,47,32,38
19,觀音,2022-12-12,36,12,2,,22,18,36,32
18,大園,2022-12-12,33,5,2,,21,32,33,28
17,桃園,2022-12-12,45,8,5,,16,45,31,29
16,大同,2022-12-12,58,2,12,,28,58,,44
15,松山,2022-12-12,52,2,3,,22,52,33,31
14,古亭,2022-12-12,37,2,3,,16,37,35,34
13,萬華,2022-12-12,50,2,5,,17,50,31,35
12,中山,2022-12-12,48,2,6,,17,48,31,26
11,士林,2022-12-12,53,0,3,,12,53,35,25
10,淡水,2022-12-12,36,2,2,,12,13,36,27
9,林口,2022-12-12,48,2,2,,13,48,31,23
8,菜寮,2022-12-12,51,0,6,,15,51,33,31
7,新莊,2022-12-12,52,0,5,,19,52,32,29
6,板橋,2022-12-12,48,2,5,,16,48,31,31
5,土城,2022-12-12,35,0,3,,16,35,35,23
4,新店,2022-12-12,35,2,3,,13,35,33,22
3,萬里,2022-12-12,60,0,2,,60,3,41,49
2,汐止,2022-12-12,48,2,3,,14,48,32,24
1,基隆,2022-12-12,39,2,2,,23,8,39,35
85,大城,2022-12-11,47,5,3,,40,18,44,47
84,富貴角,2022-12-11,62,0,3,,52,13,47,62
83,麥寮,2022-12-11,47,5,5,,47,18,,44
80,關山,2022-12-11,37,2,2,,16,5,37,15
78,馬公,2022-12-11,55,0,5,,32,10,43,55
77,金門,2022-12-11,67,2,6,,42,17,39,67
75,馬祖,2022-12-11,84,2,6,,39,12,37,84
72,埔里,2022-12-11,44,2,5,,16,27,44,28
71,復興,2022-12-11,65,5,7,,47,37,,65
70,永和,2022-12-11,31,0,6,,12,23,,31
69,竹山,2022-12-11,48,2,3,,16,22,48,20
68,中壢,2022-12-11,52,2,8,,16,52,,39
67,三重,2022-12-11,51,2,12,,16,51,,27
66,冬山,2022-12-11,36,0,3,,5,20,36,3
65,宜蘭,2022-12-11,38,2,2,,3,7,38,5
64,陽明,2022-12-11,43,2,3,,4,13,43,4
63,花蓮,2022-12-11,38,2,3,,15,15,38,12
62,臺東,2022-12-11,41,0,2,,19,8,41,12
61,恆春,2022-12-11,45,0,2,,9,2,45,6
60,潮州,2022-12-11,87,5,5,,41,25,87,69
59,屏東,2022-12-11,66,2,6,,42,33,58,66
58,小港,2022-12-11,75,5,6,,49,35,67,75
57,前鎮,2022-12-11,73,5,6,,50,40,,73
56,前金,2022-12-11,70,10,6,,47,30,61,70
54,左營,2022-12-11,62,2,5,,48,27,51,62
53,楠梓,2022-12-11,54,5,5,,39,27,51,54
52,林園,2022-12-11,71,15,5,,56,40,71,69
51,大寮,2022-12-11,93,12,6,,44,35,93,75
50,鳳山,2022-12-11,76,8,9,,45,51,,76
49,仁武,2022-12-11,65,8,5,,37,30,47,65
48,橋頭,2022-12-11,64,5,5,,44,27,50,64
47,美濃,2022-12-11,56,2,5,,30,15,51,56
46,臺南,2022-12-11,56,2,6,,32,27,47,56
45,安南,2022-12-11,48,2,5,,34,17,47,48
44,善化,2022-12-11,49,5,3,,27,22,49,36
43,新營,2022-12-11,47,5,5,,26,18,47,32
42,嘉義,2022-12-11,45,22,5,,20,23,45,30
41,臺西,2022-12-11,44,5,3,,37,18,,44
40,朴子,2022-12-11,44,5,5,,39,15,44,42
39,新港,2022-12-11,44,5,3,,31,12,44,35
38,崙背,2022-12-11,39,5,3,,37,12,39,37
37,斗六,2022-12-11,45,2,3,,19,15,45,30
36,南投,2022-12-11,39,0,5,,16,30,39,18
35,二林,2022-12-11,54,5,5,,54,13,40,29
34,線西,2022-12-11,36,5,5,,30,17,,36
33,彰化,2022-12-11,38,2,5,,17,17,38,13
32,西屯,2022-12-11,40,2,3,,14,12,40,15
31,忠明,2022-12-11,39,2,3,,11,18,39,7
30,大里,2022-12-11,37,2,5,,10,18,37,9
29,沙鹿,2022-12-11,39,2,3,,17,13,39,18
28,豐原,2022-12-11,29,2,3,,6,10,29,14
27,三義,2022-12-11,38,2,3,,9,12,38,15
26,苗栗,2022-12-11,36,2,3,,11,13,36,22
25,頭份,2022-12-11,27,2,5,,11,17,,27
24,新竹,2022-12-11,38,2,5,,13,17,34,38
23,竹東,2022-12-11,39,0,3,,5,13,39,20
22,湖口,2022-12-11,41,2,5,,18,15,37,41
21,龍潭,2022-12-11,35,5,5,,4,17,35,10
20,平鎮,2022-12-11,40,2,5,,12,22,32,40
19,觀音,2022-12-11,49,10,3,,30,13,41,49
18,大園,2022-12-11,45,8,5,,26,33,34,45
17,桃園,2022-12-11,31,2,5,,10,22,31,26
16,大同,2022-12-11,51,2,9,,19,51,,40
15,松山,2022-12-11,33,2,3,,15,32,33,25
14,古亭,2022-12-11,36,2,3,,12,20,33,36
13,萬華,2022-12-11,35,2,6,,11,35,29,31
12,中山,2022-12-11,32,0,6,,11,32,28,18
11,士林,2022-12-11,36,2,3,,7,22,36,19
10,淡水,2022-12-11,39,2,3,,13,13,39,36
9,林口,2022-12-11,37,2,3,,12,15,37,27
8,菜寮,2022-12-11,32,2,6,,10,25,31,32
7,新莊,2022-12-11,31,0,3,,14,18,31,27
6,板橋,2022-12-11,37,0,6,,11,37,27,32
5,土城,2022-12-11,33,0,5,,11,18,33,24
4,新店,2022-12-11,32,0,5,,10,20,32,20
3,萬里,2022-12-11,64,2,3,,53,13,43,64
2,汐止,2022-12-11,37,2,3,,11,15,37,25
1,基隆,2022-12-11,41,2,3,,24,12,41,41
85,大城,2022-12-10,44,5,3,,23,23,44,31
84,富貴角,2022-12-10,50,0,1,,43,5,50,44
83,麥寮,2022-12-10,32,2,2,,26,13,,32
80,關山,2022-12-10,37,2,1,,8,10,37,16
78,馬公,2022-12-10,44,0,2,,31,8,44,41
77,金門,2022-12-10,49,8,2,,33,38,40,49
75,馬祖,2022-12-10,50,2,3,,25,13,50,46
72,埔里,2022-12-10,45,2,3,,18,25,45,29
71,復興,2022-12-10,60,5,7,,41,40,,60
70,永和,2022-12-10,45,0,7,,18,45,,35
69,竹山,2022-12-10,44,2,3,,25,30,44,37
68,中壢,2022-12-10,55,2,7,,20,55,,35
